Team	Runs	ERA	Errors	Wins
BOS	610	4.63	97	83
COL	649	4.51	101	64
CHC	653	4.51	97	71
STL	655	4.05	86	81
CLE	671	4.08	136	77
SEA	671	3.57	90	57
TEX	672	4.20	94	62
WSN	675	4.21	94	88
TOR	680	4.16	86	79
ARI	686	4.10	95	60
DET	686	4.43	109	86
BAL	715	3.65	72	71
PIT	716	4.91	102	73
LAD	717	4.28	97	92
HOU	722	5.08	126	68
MIN	724	4.06	77	75
LAA	725	3.70	80	74
CIN	729	4.21	111	63
SFG	744	4.22	80	78
CHW	750	4.24	75	63
SDP	752	5.09	101	54
NYY	759	3.78	88	68
KCR	763	3.51	73	65
TBR	765	4.37	97	71
MIL	768	4.00	89	56
NYM	777	3.84	89	75
MIA	779	4.08	107	71
OAK	808	3.15	101	72
ATL	845	4.91	110	67
PHI	878	4.00	75	88
