Team	Runs	ERA	Errors	Wins	Projected
ARI	716	3.62	89	83	81
ATL	665	4.81	86	65	65
BAL	689	4.82	81	71	70
BOS	692	3.68	92	82	81
CHC	715	4.08	91	78	77
CHW	626	4.83	106	57	56
CIN	690	5.28	69	62	61
CLE	735	3.38	66	89	87
COL	742	4.58	71	80	78
DET	665	5.22	77	60	59
HOU	789	4.26	89	87	86
KCR	633	4.63	68	72	71
LAA	635	4.21	72	73	72
LAD	692	3.42	77	93	67
MIA	671	4.66	64	68	74
MIL	653	4.04	103	76	74
MIN	721	4.67	70	75	62
NYM	666	4.89	79	63	77
NYY	756	3.79	88	78	62
OAK	658	4.81	113	63	54
PHI	604	4.74	79	55	66
PIT	602	4.27	93	68	64
SDP	556	4.55	100	65	55
SFG	585	4.64	82	57	71
SEA	674	4.44	88	72	75
STL	691	3.86	84	76	70
TBR	623	4.03	91	72	71
TEX	744	4.55	95	72	67
TOR	619	4.44	85	68	91
WSN	748	3.86	79	88	87
